Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Ezekiel Elliott (13041144),Ezekiel Elliott,13041144,RB/FLEX,9200,NYG@DAL 09/08/2019 04:25PM ET,DAL,23.27
RB,Saquon Barkley (13041692),Saquon Barkley,13041692,RB/FLEX,9000,NYG@DAL 09/08/2019 04:25PM ET,NYG,25.42
RB,Christian McCaffrey (13041406),Christian McCaffrey,13041406,RB/FLEX,8800,LAR@CAR 09/08/2019 01:00PM ET,CAR,25.28
WR,Odell Beckham Jr. (13040853),Odell Beckham Jr.,13040853,WR/FLEX,8100,TEN@CLE 09/08/2019 01:00PM ET,CLE,20.53
WR,Julio Jones (13040679),Julio Jones,13040679,WR/FLEX,8000,ATL@MIN 09/08/2019 01:00PM ET,ATL,22.37
RB,Todd Gurley II (13041058),Todd Gurley II,13041058,RB/FLEX,7900,LAR@CAR 09/08/2019 01:00PM ET,LAR,25.09
WR,Mike Evans (13040877),Mike Evans,13040877,WR/FLEX,7900,SF@TB 09/08/2019 04:25PM ET,TB,19.71
RB,David Johnson (13040796),David Johnson,13040796,RB/FLEX,7700,DET@ARI 09/08/2019 04:25PM ET,ARI,15.72
WR,Tyreek Hill (13041379),Tyreek Hill,13041379,WR/FLEX,7600,KC@JAX 09/08/2019 01:00PM ET,KC,21.22
RB,Melvin Gordon III (13040935),Melvin Gordon III,13040935,RB/FLEX,7500,IND@LAC 09/08/2019 04:05PM ET,LAC,22.03
WR,Keenan Allen (13040827),Keenan Allen,13040827,WR/FLEX,7300,IND@LAC 09/08/2019 04:05PM ET,LAC,16.41
QB,Patrick Mahomes (13041545),Patrick Mahomes,13041545,QB,7200,KC@JAX 09/08/2019 01:00PM ET,KC,27.99
WR,A.J. Green (13040685),A.J. Green,13040685,WR/FLEX,7200,CIN@SEA 09/08/2019 04:05PM ET,CIN,17.38
TE,Travis Kelce (13040674),Travis Kelce,13040674,TE/FLEX,7100,KC@JAX 09/08/2019 01:00PM ET,KC,19.04
RB,Le'Veon Bell (13040785),Le'Veon Bell,13040785,RB/FLEX,7100,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,0
WR,Amari Cooper (13040983),Amari Cooper,13040983,WR/FLEX,7000,NYG@DAL 09/08/2019 04:25PM ET,DAL,15.92
WR,Adam Thielen (13041159),Adam Thielen,13041159,WR/FLEX,6800,ATL@MIN 09/08/2019 01:00PM ET,MIN,20.96
WR,Stefon Diggs (13041049),Stefon Diggs,13041049,WR/FLEX,6700,ATL@MIN 09/08/2019 01:00PM ET,MIN,18.55
QB,Andrew Luck (13040695),Andrew Luck,13040695,QB,6700,IND@LAC 09/08/2019 04:05PM ET,IND,22.03
RB,Joe Mixon (13041335),Joe Mixon,13041335,RB/FLEX,6700,CIN@SEA 09/08/2019 04:05PM ET,CIN,18.24
WR,T.Y. Hilton (13040718),T.Y. Hilton,13040718,WR/FLEX,6600,IND@LAC 09/08/2019 04:05PM ET,IND,17.72
QB,Jameis Winston (13041027),Jameis Winston,13041027,QB,6600,SF@TB 09/08/2019 04:25PM ET,TB,20.71
TE,George Kittle (13041161),George Kittle,13041161,TE/FLEX,6600,SF@TB 09/08/2019 04:25PM ET,SF,16.92
QB,Cam Newton (13040638),Cam Newton,13040638,QB,6500,LAR@CAR 09/08/2019 01:00PM ET,CAR,21.76
WR,Brandin Cooks (13040951),Brandin Cooks,13040951,WR/FLEX,6500,LAR@CAR 09/08/2019 01:00PM ET,LAR,16.47
WR,Robert Woods (13040821),Robert Woods,13040821,WR/FLEX,6400,LAR@CAR 09/08/2019 01:00PM ET,LAR,16.31
QB,Baker Mayfield (13041254),Baker Mayfield,13041254,QB,6400,TEN@CLE 09/08/2019 01:00PM ET,CLE,19.01
RB,Nick Chubb (13041370),Nick Chubb,13041370,RB/FLEX,6400,TEN@CLE 09/08/2019 01:00PM ET,CLE,12.91
RB,Damien Williams (13041021),Damien Williams,13041021,RB/FLEX,6300,KC@JAX 09/08/2019 01:00PM ET,KC,9.14
QB,Russell Wilson (13040661),Russell Wilson,13040661,QB,6300,CIN@SEA 09/08/2019 04:05PM ET,SEA,19.54
WR,Kenny Golladay (13041093),Kenny Golladay,13041093,WR/FLEX,6300,DET@ARI 09/08/2019 04:25PM ET,DET,14.41
QB,Jared Goff (13041127),Jared Goff,13041127,QB,6200,LAR@CAR 09/08/2019 01:00PM ET,LAR,20.21
WR,Chris Godwin (13041463),Chris Godwin,13041463,WR/FLEX,6200,SF@TB 09/08/2019 04:25PM ET,TB,12.2
RB,Leonard Fournette (13041354),Leonard Fournette,13041354,RB/FLEX,6100,KC@JAX 09/08/2019 01:00PM ET,JAX,15.05
QB,Matt Ryan (13040600),Matt Ryan,13040600,QB,6100,ATL@MIN 09/08/2019 01:00PM ET,ATL,24.44
TE,Zach Ertz (13040739),Zach Ertz,13040739,TE/FLEX,6100,WAS@PHI 09/08/2019 01:00PM ET,PHI,17.53
QB,Lamar Jackson (13041638),Lamar Jackson,13041638,QB,6000,BAL@MIA 09/08/2019 01:00PM ET,BAL,10.98
RB,Dalvin Cook (13041387),Dalvin Cook,13041387,RB/FLEX,6000,ATL@MIN 09/08/2019 01:00PM ET,MIN,14.27
WR,Tyler Lockett (13040917),Tyler Lockett,13040917,WR/FLEX,6000,CIN@SEA 09/08/2019 04:05PM ET,SEA,14.38
RB,Derrick Henry (13041152),Derrick Henry,13041152,RB/FLEX,5900,TEN@CLE 09/08/2019 01:00PM ET,TEN,13.02
WR,Alshon Jeffery (13040745),Alshon Jeffery,13040745,WR/FLEX,5900,WAS@PHI 09/08/2019 01:00PM ET,PHI,14.45
QB,Philip Rivers (13040611),Philip Rivers,13040611,QB,5900,IND@LAC 09/08/2019 04:05PM ET,LAC,19.56
QB,Dak Prescott (13040864),Dak Prescott,13040864,QB,5900,NYG@DAL 09/08/2019 04:25PM ET,DAL,19.43
WR,Tyler Boyd (13041198),Tyler Boyd,13041198,WR/FLEX,5800,CIN@SEA 09/08/2019 04:05PM ET,CIN,16.44
RB,Kerryon Johnson (13041675),Kerryon Johnson,13041675,RB/FLEX,5800,DET@ARI 09/08/2019 04:25PM ET,DET,14.64
QB,Jimmy Garoppolo (13040818),Jimmy Garoppolo,13040818,QB,5800,SF@TB 09/08/2019 04:25PM ET,SF,17.01
WR,Cooper Kupp (13041099),Cooper Kupp,13041099,WR/FLEX,5700,LAR@CAR 09/08/2019 01:00PM ET,LAR,17.26
QB,Carson Wentz (13040977),Carson Wentz,13040977,QB,5700,WAS@PHI 09/08/2019 01:00PM ET,PHI,20.15
RB,Chris Carson (13041688),Chris Carson,13041688,RB/FLEX,5700,CIN@SEA 09/08/2019 04:05PM ET,SEA,15.15
WR,Jarvis Landry (13040855),Jarvis Landry,13040855,WR/FLEX,5600,TEN@CLE 09/08/2019 01:00PM ET,CLE,14.38
QB,Josh Allen (13041613),Josh Allen,13041613,QB,5600,BUF@NYJ 09/08/2019 01:00PM ET,BUF,19.00
RB,Marlon Mack (13041562),Marlon Mack,13041562,RB/FLEX,5600,IND@LAC 09/08/2019 04:05PM ET,IND,15.94
QB,Kyler Murray (13041661),Kyler Murray,13041661,QB,5600,DET@ARI 09/08/2019 04:25PM ET,ARI,0
WR,D.J. Moore (13041643),D.J. Moore,13041643,WR/FLEX,5500,LAR@CAR 09/08/2019 01:00PM ET,CAR,10.19
QB,Kirk Cousins (13040669),Kirk Cousins,13040669,QB,5500,ATL@MIN 09/08/2019 01:00PM ET,MIN,19.70
RB,Austin Ekeler (13041314),Austin Ekeler,13041314,RB/FLEX,5500,IND@LAC 09/08/2019 04:05PM ET,LAC,11.44
QB,Matthew Stafford (13040626),Matthew Stafford,13040626,QB,5400,DET@ARI 09/08/2019 04:25PM ET,DET,14.76
WR,Dante Pettis (13041525),Dante Pettis,13041525,WR/FLEX,5400,SF@TB 09/08/2019 04:25PM ET,SF,8.88
QB,Nick Foles (13040668),Nick Foles,13040668,QB,5300,KC@JAX 09/08/2019 01:00PM ET,JAX,17.26
RB,Devonta Freeman (13040871),Devonta Freeman,13040871,RB/FLEX,5300,ATL@MIN 09/08/2019 01:00PM ET,ATL,7.05
WR,Mike Williams (13041167),Mike Williams,13041167,WR/FLEX,5300,IND@LAC 09/08/2019 04:05PM ET,LAC,11.12
QB,Marcus Mariota (13040950),Marcus Mariota,13040950,QB,5200,TEN@CLE 09/08/2019 01:00PM ET,TEN,13.71
WR,Robby Anderson (13040959),Robby Anderson,13040959,WR/FLEX,5200,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,11.74
RB,Mark Ingram II (13040677),Mark Ingram II,13040677,RB/FLEX,5100,BAL@MIA 09/08/2019 01:00PM ET,BAL,11.67
WR,Calvin Ridley (13041706),Calvin Ridley,13041706,WR/FLEX,5100,ATL@MIN 09/08/2019 01:00PM ET,ATL,13.18
QB,Sam Darnold (13041666),Sam Darnold,13041666,QB,5100,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,14.72
WR,Sammy Watkins (13040896),Sammy Watkins,13040896,WR/FLEX,5000,KC@JAX 09/08/2019 01:00PM ET,KC,12.54
QB,Andy Dalton (13040625),Andy Dalton,13040625,QB,5000,CIN@SEA 09/08/2019 04:05PM ET,CIN,17.41
QB,Eli Manning (13040608),Eli Manning,13040608,QB,5000,NYG@DAL 09/08/2019 04:25PM ET,NYG,16.87
WR,Sterling Shepard (13041019),Sterling Shepard,13041019,WR/FLEX,5000,NYG@DAL 09/08/2019 04:25PM ET,NYG,11.78
RB,Tevin Coleman (13041074),Tevin Coleman,13041074,RB/FLEX,5000,SF@TB 09/08/2019 04:25PM ET,SF,12.48
TE,O.J. Howard (13041154),O.J. Howard,13041154,TE/FLEX,5000,SF@TB 09/08/2019 04:25PM ET,TB,12.05
WR,Corey Davis (13041150),Corey Davis,13041150,WR/FLEX,4900,TEN@CLE 09/08/2019 01:00PM ET,TEN,11.85
QB,Ryan Fitzpatrick (13040592),Ryan Fitzpatrick,13040592,QB,4900,BAL@MIA 09/08/2019 01:00PM ET,MIA,23.86
QB,Case Keenum (13040637),Case Keenum,13040637,QB,4900,WAS@PHI 09/08/2019 01:00PM ET,WAS,15.06
